Area Name,Area ID,Year,Age Group,Total,Male,Female,White Total,White Male,White Female,Black Total,Black Male,Black Female,AIAN Total,AIAN Male,AIAN Female,Asian Total,Asian Male,Asian Female,NHPI Total,NHPI Male,NHPI Female,Two or More Races Total,Two or More Races Male,Two or More Races Female
Washington,53,2020,0-4,"437,152","223,324","213,828","271,102","138,239","132,863","21,146","10,643","10,503","9,089","4,525","4,564","37,879","19,412","18,467","5,709","2,889","2,821","92,227","47,617","44,610"
Washington,53,2020,5-9,"473,016","242,415","230,601","300,800","154,159","146,641","22,469","11,469","11,000","11,060","5,732","5,328","40,414","20,714","19,699","6,061","3,084","2,977","92,212","47,257","44,955"
Washington,53,2020,10-14,"488,349","250,059","238,290","315,078","161,663","153,415","22,903","11,706","11,196","12,090","6,210","5,880","39,360","20,020","19,340","5,945","3,126","2,819","92,974","47,334","45,640"
Washington,53,2020,15-19,"475,440","243,401","232,039","313,990","161,246","152,744","22,669","11,844","10,825","12,113","6,338","5,775","41,915","20,739","21,177","5,998","3,049","2,949","78,754","40,185","38,568"
Washington,53,2020,20-24,"494,145","257,607","236,538","333,159","174,525","158,634","25,808","14,111","11,697","11,290","5,982","5,308","53,018","27,160","25,858","6,379","3,281","3,097","64,492","32,549","31,943"
Washington,53,2020,25-29,"555,326","286,838","268,488","380,495","197,260","183,235","27,166","14,837","12,330","11,229","5,777","5,451","69,071","35,024","34,047","6,576","3,319","3,258","60,790","30,621","30,169"
Washington,53,2020,30-34,"579,579","295,591","283,987","406,118","209,275","196,843","27,727","15,021","12,707","11,591","5,928","5,663","73,100","35,132","37,968","6,296","3,172","3,124","54,746","27,063","27,683"
Washington,53,2020,35-39,"561,706","285,153","276,554","400,423","205,733","194,690","27,059","14,850","12,210","11,041","5,719","5,322","68,663","32,019","36,644","5,388","2,678","2,710","49,131","24,153","24,979"
Washington,53,2020,40-44,"495,474","249,644","245,830","357,313","182,023","175,290","23,842","13,139","10,703","10,291","5,187","5,103","58,011","26,626","31,385","4,597","2,369","2,228","41,420","20,300","21,120"
Washington,53,2020,45-49,"463,953","233,029","230,923","339,591","172,719","166,871","21,404","11,967","9,437","9,837","5,092","4,745","54,745","24,603","30,142","4,021","2,033","1,988","34,356","16,615","17,741"
Washington,53,2020,50-54,"464,438","231,944","232,494","354,854","179,095","175,759","19,910","11,103","8,807","9,366","4,600","4,766","46,755","20,788","25,967","3,432","1,697","1,734","30,121","14,660","15,461"
Washington,53,2020,55-59,"486,963","239,979","246,984","386,154","191,821","194,333","19,172","10,563","8,609","9,084","4,400","4,684","41,902","18,213","23,689","2,920","1,425","1,495","27,731","13,558","14,174"
Washington,53,2020,60-64,"478,636","232,060","246,576","391,254","191,340","199,914","16,965","9,136","7,829","7,726","3,751","3,976","36,927","15,611","21,316","2,485","1,126","1,359","23,279","11,096","12,183"
Washington,53,2020,65-69,"425,472","202,369","223,102","357,719","171,468","186,251","12,092","6,411","5,681","5,714","2,703","3,011","30,986","12,883","18,103","1,700",811,889,"17,261","8,094","9,168"
Washington,53,2020,70-74,"340,315","160,033","180,283","293,428","139,050","154,378","7,853","3,847","4,006","3,770","1,837","1,933","22,879","9,434","13,445","1,148",559,589,"11,238","5,307","5,931"
Washington,53,2020,75-79,"221,282","102,386","118,896","193,970","90,504","103,467","4,227","2,096","2,132","2,164",956,"1,208","14,236","5,899","8,337",562,256,305,"6,122","2,676","3,446"
Washington,53,2020,80-84,"134,275","59,378","74,897","117,666","52,338","65,329","2,420","1,099","1,320","1,204",509,696,"9,304","3,789","5,515",281,113,167,"3,400","1,530","1,870"
Washington,53,2020,85+,"130,793","49,072","81,721","116,078","43,811","72,267","2,127",820,"1,307",946,361,586,"8,507","2,868","5,639",221,76,144,"2,913","1,136","1,777"
Washington,53,2020,Total,"7,706,310","3,844,281","3,862,029","5,629,191","2,816,267","2,812,924","326,959","174,661","152,298","149,605","75,607","73,999","747,672","350,933","396,740","69,716","35,064","34,652","783,167","391,750","391,417"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Adams,53001,2020,0-4,"1,836",938,898,"1,287",659,628,11,8,2,125,64,61,8,5,3,2,2,0,404,200,204
Adams,53001,2020,5-9,"1,982","1,051",931,"1,451",734,717,19,13,6,92,50,42,12,10,2,1,0,1,407,244,163
Adams,53001,2020,10-14,"2,020","1,042",978,"1,438",726,712,20,3,17,92,39,52,14,4,9,2,2,0,455,267,188
Adams,53001,2020,15-19,"1,792",947,845,"1,408",762,646,15,9,6,80,46,34,26,19,7,1,1,1,262,111,151
Adams,53001,2020,20-24,"1,337",703,634,"1,053",565,488,17,8,10,116,63,53,28,3,25,3,3,0,119,61,58
Adams,53001,2020,25-29,"1,429",772,657,"1,038",587,451,10,8,1,96,68,28,2,1,1,1,1,0,283,108,176
Adams,53001,2020,30-34,"1,390",684,706,"1,055",493,562,14,10,3,84,45,39,7,4,4,1,1,0,230,132,98
Adams,53001,2020,35-39,"1,226",607,619,978,491,487,7,3,4,33,18,14,9,4,5,0,0,0,199,91,109
Adams,53001,2020,40-44,"1,278",643,635,"1,008",493,514,18,11,7,43,22,20,16,10,7,3,3,0,191,104,87
Adams,53001,2020,45-49,"1,036",487,549,902,430,471,5,1,4,36,14,22,9,4,4,0,0,0,85,38,47
Adams,53001,2020,50-54,"1,023",531,492,805,427,378,5,2,3,26,15,12,13,5,8,0,0,0,174,82,91
Adams,53001,2020,55-59,954,481,473,806,413,392,7,1,5,24,18,6,17,9,8,0,0,0,102,40,62
Adams,53001,2020,60-64,945,461,484,825,408,416,0,0,0,33,6,27,18,9,9,3,1,2,65,36,30
Adams,53001,2020,65-69,863,455,408,741,370,372,4,3,0,13,9,4,14,14,0,0,0,0,91,60,31
Adams,53001,2020,70-74,594,285,309,546,258,287,8,3,5,16,3,13,10,8,2,0,0,0,14,13,1
Adams,53001,2020,75-79,416,206,210,385,197,188,0,0,0,5,1,4,1,0,1,0,0,0,25,7,17
Adams,53001,2020,80-84,259,124,135,230,113,117,4,4,0,2,1,2,8,1,6,0,0,0,15,5,10
Adams,53001,2020,85+,228,89,139,210,78,131,0,0,0,2,0,2,3,1,2,0,0,0,13,10,4
Adams,53001,2020,Total,"20,613","10,509","10,104","16,165","8,207","7,958",162,88,74,921,483,438,214,111,103,16,13,3,"3,135","1,608","1,527"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Asotin,53003,2020,0-4,"1,115",578,537,947,501,446,12,7,5,19,10,9,8,1,7,2,0,2,128,59,68
Asotin,53003,2020,5-9,"1,282",638,644,"1,116",547,569,8,4,4,21,16,5,9,5,4,0,0,0,129,67,62
Asotin,53003,2020,10-14,"1,335",675,660,"1,099",573,527,14,8,6,24,10,14,19,7,12,2,1,2,177,77,100
Asotin,53003,2020,15-19,"1,373",680,693,"1,157",566,591,11,9,2,27,19,9,14,5,9,2,2,0,161,80,82
Asotin,53003,2020,20-24,"1,114",557,557,948,478,469,11,7,3,35,18,18,4,0,4,3,2,0,114,51,63
Asotin,53003,2020,25-29,"1,224",607,617,"1,109",541,568,10,3,6,18,10,8,14,10,4,3,2,0,71,40,31
Asotin,53003,2020,30-34,"1,179",599,580,"1,052",526,526,9,6,3,23,9,14,23,12,11,0,0,0,73,45,27
Asotin,53003,2020,35-39,"1,273",606,667,"1,150",527,623,2,1,1,23,15,8,20,8,12,1,0,1,77,55,23
Asotin,53003,2020,40-44,"1,170",576,594,"1,065",526,539,12,7,5,16,7,9,18,13,5,7,4,3,52,19,33
Asotin,53003,2020,45-49,"1,185",583,602,"1,088",547,542,10,3,7,23,6,17,12,5,7,1,1,0,50,21,29
Asotin,53003,2020,50-54,"1,273",617,656,"1,179",576,603,3,3,0,13,1,12,22,6,16,0,0,0,57,31,26
Asotin,53003,2020,55-59,"1,628",758,870,"1,498",714,784,2,0,2,14,10,4,10,0,10,7,0,7,96,34,63
Asotin,53003,2020,60-64,"1,759",814,945,"1,688",791,897,5,2,4,21,10,11,11,2,9,1,1,0,33,9,24
Asotin,53003,2020,65-69,"1,609",804,805,"1,523",760,762,7,7,0,10,7,3,19,5,14,5,4,1,46,22,24
Asotin,53003,2020,70-74,"1,399",643,756,"1,327",618,710,4,4,0,13,7,6,4,0,4,0,0,0,51,15,36
Asotin,53003,2020,75-79,"1,060",523,537,"1,016",493,524,0,0,0,2,2,0,12,6,6,2,2,0,27,20,8
Asotin,53003,2020,80-84,675,331,344,661,327,334,2,0,2,2,0,2,1,0,1,0,0,0,10,4,6
Asotin,53003,2020,85+,629,256,373,601,252,349,0,0,0,10,0,10,1,0,1,3,0,3,13,4,9
Asotin,53003,2020,Total,"22,285","10,846","11,439","20,223","9,861","10,362",122,71,51,314,155,159,221,85,136,40,20,20,"1,365",653,712
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Benton,53005,2020,0-4,"13,498","6,892","6,606","10,051","5,147","4,904",204,105,99,144,87,57,359,191,168,44,19,25,"2,697","1,344","1,353"
Benton,53005,2020,5-9,"15,347","7,894","7,453","11,635","6,079","5,556",279,148,131,159,84,75,471,217,253,77,27,51,"2,726","1,339","1,386"
Benton,53005,2020,10-14,"16,171","8,306","7,865","12,371","6,327","6,043",304,142,162,208,104,104,392,194,198,73,46,27,"2,823","1,493","1,331"
Benton,53005,2020,15-19,"14,560","7,437","7,123","11,394","5,834","5,560",327,162,166,245,136,109,396,173,223,91,57,35,"2,107","1,076","1,031"
Benton,53005,2020,20-24,"12,213","6,274","5,939","9,966","5,133","4,833",258,151,107,172,99,73,362,178,183,58,24,34,"1,398",689,709
Benton,53005,2020,25-29,"13,480","6,782","6,698","11,027","5,512","5,515",266,177,89,201,91,110,422,209,213,60,26,34,"1,504",767,737
Benton,53005,2020,30-34,"14,203","7,138","7,065","11,700","5,930","5,770",262,151,111,206,121,85,705,323,382,55,26,29,"1,276",587,688
Benton,53005,2020,35-39,"14,397","7,187","7,210","12,125","6,126","5,999",247,145,101,224,111,113,593,260,332,33,17,17,"1,176",528,648
Benton,53005,2020,40-44,"12,696","6,330","6,366","10,595","5,323","5,272",248,132,116,231,123,107,449,186,262,61,32,29,"1,113",533,580
Benton,53005,2020,45-49,"11,387","5,583","5,804","9,579","4,716","4,863",225,135,89,180,82,98,495,217,278,24,17,8,885,415,469
Benton,53005,2020,50-54,"11,492","5,661","5,831","9,747","4,796","4,951",190,105,85,172,84,88,451,217,234,43,21,22,890,438,451
Benton,53005,2020,55-59,"12,511","6,143","6,368","10,868","5,315","5,553",168,85,83,188,105,83,455,192,263,24,13,11,808,433,375
Benton,53005,2020,60-64,"12,388","6,059","6,329","10,996","5,401","5,595",138,83,54,154,76,78,386,164,222,33,29,5,681,306,375
Benton,53005,2020,65-69,"11,120","5,408","5,712","10,114","4,980","5,134",93,71,22,97,51,46,292,116,176,12,8,3,512,182,330
Benton,53005,2020,70-74,"8,668","4,220","4,448","7,968","3,871","4,097",70,43,28,78,36,42,211,93,118,11,4,7,330,174,156
Benton,53005,2020,75-79,"5,652","2,650","3,002","5,259","2,473","2,787",30,10,20,21,11,10,145,59,86,8,4,4,189,93,95
Benton,53005,2020,80-84,"3,610","1,594","2,016","3,346","1,457","1,889",33,19,14,15,8,7,76,44,32,5,5,0,135,61,74
Benton,53005,2020,85+,"3,480","1,287","2,193","3,234","1,188","2,046",18,2,16,22,6,15,96,28,68,1,0,1,110,63,47
Benton,53005,2020,Total,"206,873","102,845","104,028","171,974","85,608","86,366","3,357","1,865","1,492","2,716","1,415","1,301","6,755","3,062","3,693",712,373,339,"21,359","10,523","10,836"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Chelan,53007,2020,0-4,"4,292","2,217","2,075","3,365","1,745","1,620",22,13,9,75,31,44,32,19,13,7,2,5,791,406,385
Chelan,53007,2020,5-9,"4,897","2,578","2,319","3,952","2,083","1,868",35,17,18,80,44,36,41,23,17,12,4,9,778,407,371
Chelan,53007,2020,10-14,"5,394","2,760","2,634","4,368","2,239","2,129",49,36,13,82,44,37,66,19,47,10,4,6,818,417,401
Chelan,53007,2020,15-19,"5,077","2,661","2,416","4,115","2,149","1,965",27,20,7,108,61,47,71,45,26,12,7,5,745,379,366
Chelan,53007,2020,20-24,"4,365","2,279","2,086","3,695","1,935","1,760",38,17,22,99,47,53,36,14,22,8,3,5,488,264,224
Chelan,53007,2020,25-29,"4,551","2,409","2,142","3,815","1,987","1,829",28,16,12,50,29,21,61,32,29,19,15,4,578,330,248
Chelan,53007,2020,30-34,"4,862","2,458","2,404","4,301","2,168","2,133",24,12,12,101,61,40,62,25,38,8,4,4,366,189,177
Chelan,53007,2020,35-39,"5,019","2,514","2,505","4,330","2,208","2,123",38,18,20,92,42,51,73,34,39,28,19,9,458,193,265
Chelan,53007,2020,40-44,"4,681","2,289","2,392","3,970","1,931","2,039",17,12,5,90,47,43,102,33,69,11,7,4,492,259,233
Chelan,53007,2020,45-49,"4,409","2,198","2,211","3,749","1,913","1,836",33,18,15,111,44,67,61,22,38,28,14,14,427,186,241
Chelan,53007,2020,50-54,"4,499","2,265","2,234","3,939","1,999","1,939",21,9,11,100,35,65,62,26,36,6,3,3,372,192,180
Chelan,53007,2020,55-59,"5,155","2,510","2,645","4,451","2,238","2,213",27,17,10,138,53,84,58,11,47,9,3,6,472,187,284
Chelan,53007,2020,60-64,"5,674","2,763","2,911","5,154","2,467","2,687",24,21,3,114,78,36,62,26,37,8,6,2,311,166,146
Chelan,53007,2020,65-69,"5,332","2,640","2,692","4,975","2,478","2,497",14,11,3,51,28,24,24,17,7,6,1,5,261,105,156
Chelan,53007,2020,70-74,"4,202","2,024","2,178","3,922","1,868","2,054",12,9,4,45,23,21,36,16,20,1,0,1,186,108,78
Chelan,53007,2020,75-79,"2,845","1,361","1,484","2,617","1,277","1,340",6,1,5,32,12,20,22,12,10,3,1,2,166,58,108
Chelan,53007,2020,80-84,"1,887",855,"1,032","1,828",828,"1,000",3,1,2,10,6,4,17,2,15,2,1,1,27,17,10
Chelan,53007,2020,85+,"2,000",759,"1,241","1,917",724,"1,193",1,1,0,6,1,6,15,12,3,0,0,0,60,21,39
